formula,target
Au6Sb8Y6,0.9600020000000002
Ag4Ba4S12Sb4,2.064838
Pb2S2,1.661678
Bi4P8Se24Tl4,2.106502
O16P4Pb2Ti2,3.768786
C6Hg2K2N6S6,3.133318
H16Li4N8Rb4,3.663175
Ca10N8O4W2,3.459493
Br16S4W4,2.085391
Ca4O16Se4,5.386882999999999
Cd4Li8O16Si4,4.489124
Cs4O20P4V4,4.15628
I16In8,2.406413
O21Tl2V8,1.940156
Ba6O18Tc6,0.874243
O10Pd2Se4,2.688331
Br1Ca2N1,3.543661
C4Cu2Rb2,3.150084
Cl12Fe2Zr2,3.2855760000000003
O28Pd4S8,3.102395
Cl16Ru2S6,1.28056
Cl4K12O4,2.190715
Cu1Na5O2S1,3.316046
O10Te4,2.633501
Ni2P2Se6,1.673204
La6O16Re2,2.869448
As2Cu2O8Tl4,2.617543
Bi4Cs4S16Si4,3.13981
Ba5Nb4O15,3.8782435
Na2O6Ta2,3.545208
Ca1O6V2,4.058394
Al2Mn1Te4,1.632262
Cr2Cs6F14,1.812013
I32Mo12,2.324943
Ag4O8Si2Zn2,2.269231
Cl12Rh4,3.065685
Cu2Hf2K2S6,1.633703
Ba12Cl4Ga4Se16,3.592489
Co4O4,2.173429
As8Ca12H4Li4,2.166467
Au4O22Se8,2.859101
Pd6Se16Ta4,1.212639
O16Tl2V6,2.495385
F8Sn4,4.2084225
As4Bi4O20Pb4,3.592789
Ba2O3Pd1,1.664447
Cr8Na8O28,3.727543
K4N6O12Ru1,3.903003
In1Na1Se2,1.785538
Bi4Cl16Te14,0.616764
Cl6Rb2Se1,3.308901
F6K2Pt1,4.60789
Br6Cs2Pt1,2.395219
Ba2Ga8Se14,2.40517
Be16I32,5.176865
O12Sn4Tl8,1.941554
Hg1O2Rb2,3.460303
Pb2Se8Tl4Zr2,1.223403
Cs16O16Zr4,4.106921
F12Mn4Na4,5.091779
Cl16Mo4O4Te8,0.461939
Fe4Li8O16Si4,3.69041
K4O4,3.858748
Ag2Au4F16,2.060208
